City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
107,2025-01-07 00:00:00,RU,Anadyr,1,71,-18.72,-1.695999999999998,9.0,64.75,177.4833
283,2025-01-07 00:00:00,RU,Petropavlovsk-Kamchatsky,75,54,-5.67,21.794,4.0,53.0452,158.6483
191,2025-01-07 00:00:00,RU,Nema,61,100,-20.89,-5.601999999999997,2.07,57.5067,50.5011
359,2025-01-07 00:00:00,RU,Aykhal,24,100,-28.2,-18.759999999999998,4.69,66.0,111.5
440,2025-01-07 00:00:00,RU,Balakhta,100,98,-16.31,2.642000000000003,0.18,55.38,91.6
574,2025-01-07 00:00:00,RU,Ola,66,69,-13.65,7.43,2.83,59.5833,151.2833
409,2025-01-07 00:00:00,RU,Pervomayskoye,9,85,-0.43,31.226,3.38,43.919,46.7102
89,2025-01-07 00:00:00,RU,Nogliki,100,95,-5.56,21.992,10.56,51.8333,143.1667
333,2025-01-07 00:00:00,RU,Okhotsk,100,79,-15.65,3.830000000000002,4.57,59.3833,143.3
284,2025-01-07 00:00:00,RU,Beloyarskiy,72,93,-16.07,3.0740000000000016,2.84,63.7119,66.6722
38,2025-01-07 00:00:00,RU,Novodvinsk,90,96,-11.14,11.948,2.15,64.4165,40.8122
509,2025-01-07 00:00:00,RU,Novotroitsk,22,99,-13.61,7.5020000000000024,2.24,51.203,58.3266
415,2025-01-07 00:00:00,RU,Labytnangi,82,83,-13.56,7.591999999999999,8.01,66.6572,66.4183
539,2025-01-07 00:00:00,SA,Al Wajh,0,34,16.97,62.546,2.06,26.2455,36.4525
26,2025-01-07 00:00:00,SA,Suwayr,90,43,9.25,48.65,8.94,30.1171,40.3893
500,2025-01-07 00:00:00,SA,Al Kharj,52,21,11.32,52.376,3.26,24.155,47.3346
457,2025-01-07 00:00:00,SA,Sultanah,0,67,14.25,57.65,1.54,24.4926,39.5857
18,2025-01-07 00:00:00,SA,Al Jawf,6,55,6.11,42.998000000000005,4.29,29.5,38.75
417,2025-01-07 00:00:00,SA,Ad Dilam,89,20,12.41,54.338,3.49,23.9915,47.1627
584,2025-01-07 00:00:00,SD,El Bauga,9,33,13.62,56.516,5.08,18.262,33.9081
483,2025-01-07 00:00:00,SD,El Fasher,4,31,12.98,55.364000000000004,2.3,13.6279,25.3494
297,2025-01-07 00:00:00,SD,Al Hasaheisa,0,23,16.8,62.24,4.52,14.7526,33.2984
4,2025-01-07 00:00:00,SD,Barah,0,29,14.33,57.794,4.59,13.7,30.3667
76,2025-01-07 00:00:00,SE,Simrishamn,99,72,6.01,42.818,15.01,55.5565,14.3504
72,2025-01-07 00:00:00,SJ,Longyearbyen,75,85,-13.09,8.437999999999999,5.14,78.2186,15.6401
2,2025-01-07 00:00:00,SJ,Olonkinbyen,38,60,-4.43,24.026,3.83,70.9221,-8.7187
215,2025-01-07 00:00:00,SN,Baiti,0,16,23.06,73.508,4.39,13.745,-14.7482
30,2025-01-07 00:00:00,SO,Gaalkacyo,11,81,18.57,65.426,3.83,6.7697,47.4308
111,2025-01-07 00:00:00,SO,Hobyo,95,74,24.29,75.722,6.48,5.3505,48.5268
336,2025-01-07 00:00:00,SO,Bandarbeyla,75,73,22.96,73.328,6.68,9.4942,50.8122
432,2025-01-07 00:00:00,SR,Nieuw Amsterdam,52,87,24.42,75.956,3.84,5.8833,-55.0833
217,2025-01-07 00:00:00,SS,Yambio,97,30,24.34,75.812,2.4,4.5721,28.3955
443,2025-01-07 00:00:00,TC,Cockburn Town,97,69,25.02,77.036,6.74,21.4612,-71.1419
93,2025-01-07 00:00:00,TD,Sarh,25,21,22.31,72.158,2.2,9.1429,18.3923
474,2025-01-07 00:00:00,TD,Faya-Largeau,44,40,15.93,60.674,8.83,17.9257,19.1043
306,2025-01-07 00:00:00,TH,Fang,0,65,19.37,66.866,0.55,19.9169,99.2145
182,2025-01-07 00:00:00,TJ,Panjakent,100,39,4.94,40.891999999999996,3.29,39.4952,67.6093
42,2025-01-07 00:00:00,TN,El Haouaria,5,69,13.01,55.418,5.57,37.05,11.0144
476,2025-01-07 00:00:00,TR,Sinop,100,66,4.12,39.416,5.53,41.7711,34.8709
587,2025-01-07 00:00:00,TR,Yazihan,40,93,-5.85,21.47,1.54,38.5947,38.18
495,2025-01-07 00:00:00,TR,Bafra,99,64,7.1,44.78,2.87,41.5678,35.9069
200,2025-01-07 00:00:00,UG,Iganga,95,87,19.73,67.514,1.45,0.6092,33.4686
37,2025-01-07 00:00:00,US,College,100,69,-7.18,19.076,3.09,64.8569,-147.8028
214,2025-01-07 00:00:00,US,Colby,0,88,-8.33,17.006,1.54,39.3958,-101.0524
346,2025-01-07 00:00:00,US,Dalhart,20,60,1.01,33.818,4.12,36.0595,-102.5133
379,2025-01-07 00:00:00,US,Coeur D'Alene,0,90,0.72,33.296,2.57,47.6777,-116.7805
248,2025-01-07 00:00:00,US,Del Rio,0,27,10.22,50.396,0.0,29.3627,-100.8968
104,2025-01-07 00:00:00,US,Morehead City,97,86,8.33,46.994,4.92,34.7229,-76.726
563,2025-01-07 00:00:00,US,Vandergrift,85,58,-4.96,23.072,1.79,40.6028,-79.5648
562,2025-01-07 00:00:00,US,Crane,89,33,3.71,38.678,5.78,31.3974,-102.3501
298,2025-01-07 00:00:00,US,Statesboro,75,67,6.74,44.132000000000005,7.72,32.4488,-81.7832
82,2025-01-07 00:00:00,US,Bethel,20,68,-4.95,23.09,4.63,41.3712,-73.414
548,2025-01-07 00:00:00,US,North Platte,0,91,-10.9,12.379999999999999,1.54,41.1239,-100.7654
264,2025-01-07 00:00:00,US,Wailua Homesteads,100,80,25.63,78.134,4.63,22.0669,-159.378
547,2025-01-07 00:00:00,US,East End,0,67,0.14,32.252,3.83,34.5507,-92.341
390,2025-01-07 00:00:00,US,Baker City,0,65,2.84,37.112,6.69,44.7749,-117.8344
112,2025-01-07 00:00:00,US,West Plains,100,80,-6.54,20.228,3.6,36.7281,-91.8524
385,2025-01-07 00:00:00,US,Westerly,0,67,-3.21,26.222,6.17,41.3776,-71.8273
0,2025-01-07 00:00:00,US,Badger,75,86,-7.23,18.985999999999997,3.09,64.8,-147.5333
245,2025-01-07 00:00:00,US,Pacific Grove,100,95,12.82,55.076,7.6,36.6177,-121.9166
551,2025-01-07 00:00:00,US,Sallisaw,0,68,-4.02,24.764000000000003,4.12,35.4604,-94.7875
185,2025-01-07 00:00:00,US,Albany,100,70,-9.77,14.414000000000001,1.79,42.6001,-73.9662
85,2025-01-07 00:00:00,US,Plattsburgh,100,64,-8.88,16.016,4.02,44.6995,-73.4529
480,2025-01-07 00:00:00,US,Portales,100,45,3.55,38.39,4.23,34.1862,-103.3344
538,2025-01-07 00:00:00,US,Portland,0,75,9.69,49.442,3.13,45.5234,-122.6762
229,2025-01-07 00:00:00,US,Brookings,0,53,-10.53,13.046,1.54,44.3114,-96.7984
260,2025-01-07 00:00:00,US,Laguna,0,79,13.31,55.958,3.09,38.421,-121.4238
580,2025-01-07 00:00:00,US,Hood River,75,90,6.28,43.304,1.79,45.7054,-121.5215
188,2025-01-07 00:00:00,US,Seaside,100,95,13.09,55.562,2.06,36.6111,-121.8516
122,2025-01-07 00:00:00,US,Hawaiian Paradise Park,20,70,27.73,81.914,5.66,19.5933,-154.9731
418,2025-01-07 00:00:00,US,Summerlin South,0,46,11.37,52.466,0.48,36.1027,-115.3811
315,2025-01-07 00:00:00,US,Hilo,20,75,27.85,82.13,5.66,19.7297,-155.09
467,2025-01-07 00:00:00,US,Holualoa,24,81,24.2,75.56,2.68,19.6228,-155.9522
518,2025-01-07 00:00:00,US,Homer,100,85,5.43,41.774,8.94,59.6425,-151.5483
302,2025-01-07 00:00:00,US,Roanoke Rapids,100,100,0.67,33.206,3.09,36.4615,-77.6542
241,2025-01-07 00:00:00,US,Marysville,100,95,6.82,44.275999999999996,2.06,48.0518,-122.1771
209,2025-01-07 00:00:00,US,Jamestown,100,90,-9.43,15.026,3.6,42.097,-79.2353
570,2025-01-07 00:00:00,US,Jeannette,81,81,-4.71,23.522,4.76,40.3281,-79.6153
304,2025-01-07 00:00:00,US,Kailua-Kona,13,82,26.27,79.286,2.68,19.6406,-155.9956
492,2025-01-07 00:00:00,US,Kapa'A,100,80,26.38,79.484,4.63,22.0752,-159.319
254,2025-01-07 00:00:00,US,Kodiak,100,93,4.73,40.514,2.06,57.79,-152.4072
160,2025-01-07 00:00:00,US,Sitka,100,71,8.94,48.092,12.35,57.0531,-135.33
420,2025-01-07 00:00:00,US,Ketchikan,75,77,7.97,46.346000000000004,3.09,55.3422,-131.6461
47,2025-01-07 00:00:00,US,Lompoc,20,88,12.51,54.518,8.49,34.6391,-120.4579
120,2025-01-07 00:00:00,US,Lock Haven,100,73,-5.44,22.208,4.79,41.137,-77.4469
55,2025-01-07 00:00:00,US,Lihue,100,76,28.58,83.44399999999999,4.63,21.9789,-159.3672
103,2025-01-07 00:00:00,US,Hamilton,100,83,-3.53,25.646,4.63,39.1834,-84.5333
